StationID,DateTime,Quality_Index,pH_Level,Water_Temp
SC001,05-01-2023,69.4,7.0,14.2
SC002,12-01-2023,,7.5,13.9
SC003,19-01-2023,72.8,7.3,14.5
SC004,26-01-2023,70.5,7.2,14.0
SC005,02-02-2023,67.2,6.9,13.6
SC006,09-02-2023,65.8,7.0,13.9
SC007,16-02-2023,68.4,7.2,14.3
SC008,23-02-2023,70.1,7.3,14.8
SC009,02-03-2023,73.5,7.4,14.2
SC010,09-03-2023,71.9,7.3,14.6
SC011,16-03-2023,69.7,,15.0
SC012,23-03-2023,70.3,7.2,15.2
SC013,30-03-2023,72.4,7.3,14.9
SC014,06-04-2023,74.1,7.4,15.5
SC015,13-04-2023,71.6,7.2,15.9
SC016,20-04-2023,69.9,7.1,16.2
SC017,27-04-2023,73.2,7.3,16.6
SC018,04-05-2023,75.8,7.5,17.0
SC019,11-05-2023,74.2,7.4,17.4
SC020,18-05-2023,72.5,7.2,17.7
